date,product_id,quantity_sold,total_sales
29-01-2025 09:23,23774,1,38.55
28-01-2025 14:47,8316,2,29.85
28-01-2025 13:25,6459,1,260.05
28-01-2025 09:38,6609,1,111.42
27-01-2025 13:42,6021,10,379.04
27-01-2025 12:26,6816,1,113.05
27-01-2025 11:11,6459,1,294.64
27-01-2025 09:26,6175,1,220
24-01-2025 12:41,6184,1,268.88
23-01-2025 20:34,6591,1,395.68
23-01-2025 13:59,6816,4,665.14
23-01-2025 13:59,6609,2,665.14
21-01-2025 17:28,6687,5,788.9
17-01-2025 15:26,6021,26,810.16
17-01-2025 05:50,6459,1,297.08
16-01-2025 23:26,6184,1,269.18
16-01-2025 15:05,6572,1,281.31
13-01-2025 17:54,6175,1,201.51
13-01-2025 14:45,6019,1,106.7
13-01-2025 12:51,6022,1,366.82
13-01-2025 10:26,6816,1,129.71
12-01-2025 22:21,6021,1,47.94
12-01-2025 22:00,26681,1,256.76
12-01-2025 12:57,6200,1,362.74
08-01-2025 23:46,6175,1,206.36
08-01-2025 17:46,6968,1,90.78
08-01-2025 14:21,6190,4,835.92
07-01-2025 15:00,6459,1,263.89
07-01-2025 14:15,6021,10,298.16
07-01-2025 13:37,6816,1,113.57
07-01-2025 12:02,6803,1,174.18
06-01-2025 15:16,6459,1,1961.28
06-01-2025 15:08,6459,2,1795.01
06-01-2025 14:01,6957,2,141.79
06-01-2025 14:01,6816,1,141.79
06-01-2025 12:50,6619,1,127.39
06-01-2025 12:17,6816,1,135.79
06-01-2025 11:18,6952,50,625.6
25-12-2024 20:44,23774,1,43.95
23-12-2024 15:01,6740,2,250.08
23-12-2024 11:13,6803,2,372.55
19-12-2024 17:48,6459,3,747.03
19-12-2024 09:51,6816,2,245.57
17-12-2024 19:44,6816,2,244.85
17-12-2024 13:02,6609,2,239.32
17-12-2024 12:56,6021,2,70.97
16-12-2024 11:32,6816,1,131.46
16-12-2024 09:54,6816,3,301.56
16-12-2024 09:28,31772,3,500.17
10-12-2024 14:20,6816,3,301.59
10-12-2024 11:56,6021,2,75.49
10-12-2024 09:24,6803,1,195.71
09-12-2024 12:48,6026,1,328.01
08-12-2024 19:45,23774,1,47.26
08-12-2024 17:58,8315,1,23.74
07-12-2024 08:34,6609,1,110.66
06-12-2024 13:33,5931,1,315.41
06-12-2024 09:06,6021,6,213.78
05-12-2024 15:09,6609,1,107.33
05-12-2024 11:10,6609,1,129.58
05-12-2024 11:10,6953,2,129.58
05-12-2024 10:34,6016,3,141.09
03-12-2024 14:17,6687,1,178.71
03-12-2024 09:11,6816,1,112.58
02-12-2024 17:34,6816,2,207.09
02-12-2024 12:38,6816,1,112.55
30-11-2024 19:45,6175,1,205.27
27-11-2024 12:48,6609,2,196.55
27-11-2024 03:13,6021,6,293.26
21-11-2024 14:20,6021,2,75.2
20-11-2024 10:01,6609,1,166.98
19-11-2024 12:52,6687,1,178.71
19-11-2024 06:23,6026,15,3271.3
19-11-2024 06:23,7277,15,3271.3
18-11-2024 17:57,6021,20,655.64
18-11-2024 13:17,23785,2,193.16
15-11-2024 15:51,5931,2,609.12
15-11-2024 14:55,6572,1,355.29
15-11-2024 11:56,6459,1,290.8
15-11-2024 11:26,6591,4,2075.8
14-11-2024 14:46,6609,1,125.13
14-11-2024 08:45,6816,2,244.59
13-11-2024 18:18,6459,1,323
11-11-2024 18:39,6816,1,115.62
08-11-2024 13:38,6816,1,112.3
08-11-2024 12:10,6816,1,132.07
08-11-2024 10:13,6619,1,141.87
07-11-2024 22:00,6021,2,75.2
07-11-2024 14:55,6687,3,446.2
06-11-2024 18:33,23239,5,36.12
06-11-2024 17:25,6175,1,204.98
06-11-2024 14:44,6184,1,264.55
06-11-2024 11:25,23774,1,41.12
06-11-2024 11:06,6016,1,66.79
06-11-2024 10:50,6021,10,332.16
05-11-2024 09:52,6016,1,66.79
04-11-2024 14:26,6803,1,192.4
04-11-2024 08:55,6816,4,400.28
03-11-2024 18:42,6459,1,259.29
02-11-2024 18:24,6190,1,215.48
02-11-2024 15:57,6609,1,110.36
01-11-2024 13:54,6175,6,1181.38
01-11-2024 08:55,6950,50,398
31-10-2024 15:42,6026,4,630.99
31-10-2024 10:40,6816,1,319.29
31-10-2024 10:40,6190,1,319.29
30-10-2024 17:22,6816,1,131.5
30-10-2024 16:11,6952,3,43.29
30-10-2024 12:41,5931,1,311.79
29-10-2024 20:41,6021,5,163.59
29-10-2024 15:24,6175,1,226.52
29-10-2024 09:03,6609,10,932.94
28-10-2024 19:19,6959,20,110.24
28-10-2024 12:52,6016,1,66.79
26-10-2024 14:36,6175,1,203.81
25-10-2024 17:04,6459,1,259.03
25-10-2024 08:34,6609,2,200.96
24-10-2024 16:45,6459,1,1019.76
24-10-2024 16:45,6459,1,1019.76
24-10-2024 11:16,6816,1,121.04
23-10-2024 10:13,6609,1,106.78
23-10-2024 08:28,31772,1,180.46
22-10-2024 22:44,6816,1,115.36
22-10-2024 10:22,6175,1,204.73
21-10-2024 23:11,6816,1,275.18
21-10-2024 23:11,6609,1,275.18
21-10-2024 23:11,23774,2,275.18
21-10-2024 14:20,6816,1,163.25
21-10-2024 13:38,6816,1,115.36
19-10-2024 09:53,31772,1,181.63
17-10-2024 15:11,6175,1,200.2
17-10-2024 08:29,6459,2,1057
16-10-2024 12:04,6687,1,160.3
16-10-2024 08:37,6175,6,1181.2
15-10-2024 14:02,6187,1,369.99
14-10-2024 18:26,6175,1,200.2
14-10-2024 15:35,6190,1,214.02
14-10-2024 10:14,31772,1,177.1
09-10-2024 10:04,6459,2,1328.8
07-10-2024 14:00,6619,3,1233.4
07-10-2024 13:40,6816,1,112
04-10-2024 13:40,6184,1,331.84
04-10-2024 13:33,6740,3,408.22
04-10-2024 13:33,6950,6,408.22
03-10-2024 17:17,6619,1,527.8
03-10-2024 17:17,6619,1,527.8
03-10-2024 11:29,6184,1,267.65
03-10-2024 09:25,6175,1,297.7
02-10-2024 15:35,6803,2,350.9
02-10-2024 15:35,8312,2,350.9
02-10-2024 15:35,8314,2,350.9
01-10-2024 18:04,6175,4,2838.46
01-10-2024 18:04,6190,10,2838.46
30-09-2024 12:11,8314,1,23.15
30-09-2024 10:08,6021,5,166.62
30-09-2024 08:48,6175,1,218.2
30-09-2024 05:15,6016,6,277
27-09-2024 22:54,23774,2,57.5
27-09-2024 13:43,6175,2,396.4
27-09-2024 13:17,6175,1,218.2
25-09-2024 14:09,6816,1,115.32
25-09-2024 10:34,6459,1,290.5
25-09-2024 10:33,6175,1,282.39
24-09-2024 16:20,6816,1,115.32
23-09-2024 17:26,6609,1,137.81
20-09-2024 17:10,6175,1,200.2
19-09-2024 22:10,6016,1,70.99
19-09-2024 14:09,6609,2,196
19-09-2024 11:10,6687,3,893.2
18-09-2024 17:13,6816,1,112
17-09-2024 17:35,6816,1,112
17-09-2024 16:19,6175,1,200.2
17-09-2024 12:12,6609,2,234.94
17-09-2024 11:43,6190,1,210.7
